player_modelo,nacion,goles_int,xg_int,remates_int,n_part,score_match,factor_xg
Enner Valencia,ECU,0,0.89,4,3,85.5,1.0
Jhonder Cádiz,VEN,2,0.93,4,3,85.5,1.0
Jakub Moder,POL,0,0.5,4,3,100.0,1.0
Granit Xhaka,SUI,0,0.15,4,5,100.0,1.0
Enso Gonzalez,PAR,0,0.3,4,3,85.5,1.0
Ivan Perišić,CRO,0,0.08,4,3,100.0,1.0
Carlos de Pena,URU,2,1.67,4,5,85.5,1.0
Valentin Mihaila,ROU,0,0.22,4,3,95.0,1.0
Ola Aina,NGA,0,1.1,4,7,85.5,1.0
Andreas Christensen,DEN,0,0.37,4,4,100.0,1.0
Nuno Mendes,POR,1,0.97,4,4,100.0,1.0
Kelechi Iheanacho,NGA,1,0.96,4,2,95.0,1.0
Kalidou Koulibaly,SEN,1,0.97,4,4,100.0,1.0
Denzel Dumfries,NED,0,0.27,4,5,100.0,1.0
Damián Bobadilla,PAR,0,0.17,4,3,85.5,1.0
Daniel Muñoz,COL,2,0.61,4,5,90.0,1.0
Deiver Machado,COL,0,0.0,0,1,85.5,1.0
Giovani Lo Celso,ARG,0,0.63,3,5,100.0,1.0
Amadou Onana,BEL,0,0.17,3,4,100.0,1.0
Sergej Milinković-Savić,SRB,0,0.21,3,3,100.0,1.0
Alejandro Garnacho,ARG,0,0.15,3,6,85.5,1.0
Patrick Wimmer,AUT,0,0.14,3,3,100.0,1.0
Ayoze Pérez,ESP,0,0.32,3,1,90.0,1.0
Mathías Olivera,URU,1,0.77,4,5,90.0,1.0
Marko Arnautović,AUT,1,1.57,4,4,100.0,1.0
Dávid Hancko,SVK,0,0.25,4,4,100.0,1.0
Michael Gregoritsch,AUT,1,0.82,4,4,100.0,1.0
Mohamed Salah,EGY,1,0.93,4,2,100.0,1.0
David Jurásek,CZE,0,0.14,4,2,100.0,1.0
Jannik Vestergaard,DEN,0,0.22,4,4,100.0,1.0
José Andrés Martínez,VEN,0,0.2,4,4,95.0,1.0
John Yeboah,ECU,1,0.89,4,3,90.0,1.0
Róbert Boženík,SVK,0,0.12,3,4,100.0,1.0
Riccardo Calafiori,ITA,0,0.31,3,3,100.0,1.0
Óscar Romero,PAR,0,0.63,3,2,85.5,1.0
Guillermo Ochoa,MEX,0,0.36,3,3,85.5,1.0
Antonee Robinson,USA,0,0.1,3,3,100.0,1.0
Robert Sánchez,ESP,0,0.3,3,6,85.5,1.0
Diogo Dalot,POR,0,0.07,3,2,90.0,1.0
Youri Tielemans,BEL,1,0.15,4,3,100.0,1.0
Josef Martínez,VEN,0,0.2,4,4,85.5,1.0
Adam Hložek,CZE,0,0.49,4,2,100.0,1.0
Alhassan Yusuf,NGA,0,0.07,3,4,100.0,1.0
Alessandro Bastoni,ITA,1,0.45,3,4,100.0,1.0
Daniel Armando Ríos,MEX,1,0.16,3,3,85.5,1.0
Yordan Osorio,VEN,0,0.7,3,4,85.5,1.0
Yusuf Yazıcı,TUR,0,0.19,3,2,100.0,1.0
Timothy Weah,USA,0,0.22,3,2,100.0,1.0
Dayot Upamecano,FRA,0,0.23,3,6,85.5,1.0
Dodi Lukebakio,BEL,0,0.12,3,3,100.0,1.0
Alan Franco,ECU,0,0.12,3,4,85.5,1.0
Adrien Rabiot,FRA,0,0.26,3,5,100.0,1.0
Xherdan Shaqiri,SUI,2,0.87,3,2,100.0,1.0
Willi Orban,HUN,0,0.57,3,3,100.0,1.0
Mikel Merino,ESP,1,0.33,3,6,90.0,1.0
